Date,Open,High,Low,Close,Adj Close,Volume
2/2/2021,87.040001,90.800003,86.720001,89.919998,89.637154,10558238
2/3/2021,89.919998,90.400002,88.559998,89.599998,89.318161,6776850
2/4/2021,89.839996,92,89.519997,91.599998,91.311874,8345975
2/5/2021,92.080002,92.400002,90.559998,91.199997,90.913139,6477300
2/8/2021,91.760002,93.199997,91.279999,92.879997,92.587852,5306813
2/9/2021,92.480003,92.800003,91.279999,92.32,92.02961,6592288
2/10/2021,92.720001,92.720001,91.040001,91.199997,90.913139,5694988
2/11/2021,91.120003,91.760002,89.519997,91.68,91.391624,6478650
2/12/2021,91.279999,93.919998,91.040001,93.839996,93.54483,7304963
2/16/2021,94.559998,95.839996,94.239998,95.760002,95.458801,7539000
2/17/2021,94.720001,95.599998,94.080002,94.879997,94.581558,5367513
2/18/2021,94.720001,94.879997,92.080002,93.040001,92.747353,6106825
2/19/2021,93.760002,96.239998,93.440002,96.160004,95.857536,7631125
2/22/2021,96.559998,101.599998,96.239998,100,99.685463,12079538
2/23/2021,100.800003,101.199997,97.440002,100.720001,100.403198,9005313
2/24/2021,102.400002,106.800003,101.199997,104.959999,104.62986,13348875
2/25/2021,104.800003,106.160004,101.279999,102.080002,101.758911,11542163
2/26/2021,101.440002,102.720001,99.279999,100.32,100.004448,11091225
3/1/2021,103.360001,106.32,102.32,104.879997,104.55011,9754700
3/2/2021,105.199997,106,103.760002,103.839996,103.513374,9650675
3/3/2021,104.720001,108.959999,104.400002,107.519997,107.181801,14696538
3/4/2021,111.040001,113.040001,105.440002,108.559998,108.218529,20820213
3/5/2021,110.400002,110.480003,105.120003,108.800003,108.537766,13121938
3/8/2021,113.68,114.720001,110.480003,113.360001,113.086769,17964700
3/9/2021,112.800003,115.360001,110.639999,112,111.730049,14308463
3/10/2021,109.199997,109.919998,103.360001,106,105.744507,27528800
3/11/2021,101.519997,102.879997,95.599998,98.160004,97.923409,38225663
3/12/2021,97.919998,100.959999,97.839996,100.639999,100.397423,16818988
3/15/2021,101.919998,106.879997,101.839996,106.800003,106.54258,13925313
3/16/2021,106.639999,106.800003,104.559998,105.199997,104.946434,9307025
3/17/2021,105.599998,108.879997,105.040001,108.879997,108.617554,9903388
3/18/2021,108.720001,109.519997,105.519997,106,105.744507,7970138
3/19/2021,105.599998,106.800003,103.839996,105.760002,105.505089,8559000
3/22/2021,105.279999,105.919998,103.440002,105.040001,104.786827,6598638
3/23/2021,103.68,105.440002,100.400002,101.279999,101.035881,8206888
3/24/2021,102.080002,104.160004,100,100,99.758972,7759188
3/25/2021,99.199997,103.440002,97.839996,102.800003,102.552231,9173988
3/26/2021,103.599998,105.040001,101.68,103.919998,103.669518,7565588
3/29/2021,103.360001,104.400002,102.239998,103.599998,103.350288,6720363
3/30/2021,103.839996,106.879997,103.199997,106.400002,106.143547,6615638
3/31/2021,107.040001,107.440002,105.040001,105.040001,104.786827,7823250
4/1/2021,105.839996,106.879997,105.199997,106.239998,105.983925,7397975
4/5/2021,107.760002,108.559998,106.959999,107.68,107.420456,6342363
